"","e.cum","e.rel","pmid","meas.tech","country","inst","ct","tan.app","app.rate","man.dm","man.ph","man.source","t.incorp","air_temp_1","air_temp_2","air_temp_3","air_temp_4","air_temp_5","air_temp_6","wind.2m_1","wind.2m_2","wind.2m_3","wind.2m_4","wind.2m_5","wind.2m_6","rain.rate_1","rain.rate_2","rain.rate_3","rain.rate_4","rain.rate_5","rain.rate_6","app.mthd_bc","app.mthd_bsth","app.mthd_ts","app.mthd_os","incorp_none","incorp_shallow"
"403",6.4184,0.190180449791105,2787,"IHF","NL",214,95.117,33.749,21.773,6.6,6.9,1,1000,11.755841441156,13.1545461763108,13.8557737975448,12.8092855705373,11.7627973435299,12.3878794500815,3.68969515447089,3.66905445480478,3.21959046383876,2.88128556606516,2.54298066829156,2.27863739090398,0,0,0,0,0,0,0,0,0,1,1,0
"404",5.7412,0.162907893990125,2789,"IHF","NL",214,95.083,35.242,22.737,6.6,6.9,1,1000,10.858844607092,12.8171645021645,13.557421230173,12.8023792435226,12.0473372568722,12.4108118432656,3.72093209698854,3.61424393939394,3.0703439244958,2.7633605038398,2.45637708318381,2.27314406790631,0,0,0,0,0,0,0,0,0,1,1,0
"405",14.261,0.304358033122759,2791,"IHF","NL",214,47.583,46.856,24.278,8.8,7.1,1,1000,8.38983168957258,8.57564918033553,7.10852563786127,6.16930711465511,5.32390957652706,5.54440695932011,2.80797869476972,4.22854184850628,4.16045601794778,3.56677286521638,2.91467098397461,2.93347889885574,0,0,0,0,0,0,0,0,1,0,1,0
"406",5.9582,0.156141408317828,2792,"IHF","NL",214,48.083,38.159,36.516,4.7,6.9,1,1000,8.67324175588993,8.88109133566056,7.33449566799865,6.32388590969146,5.41302867801352,5.56505685961505,2.6366600677684,4.13216670960065,4.26196409237622,3.67975397528561,2.99950216833761,2.96335298559539,0,0,0,0,0,0,0,0,1,0,1,0
"407",16.126,0.314555455857683,2793,"IHF","NL",214,47.633,51.266,24.588,9,7.1,1,1000,8.69844825916378,12.2267724346865,14.1246951245605,13.4528506360924,12.447667661379,13.4321755290365,3.749375731413,5.67607479019714,5.06247516458374,4.74116691534475,4.49222706926339,3.97716234323736,0,0,0,0,0,0,0,0,1,0,1,0
"408",9.4585,0.183197753244238,2794,"IHF","NL",214,48.067,51.63,53.781,3.8,7,1,1000,8.20264995539657,11.6011926865699,14.0647494840567,13.7454409094498,13.0001973632273,13.8785481005213,3.33935351171555,5.671328836324,5.21333458205488,4.92307514012789,4.7054703402542,4.09828543377279,0,0,0,0,0,0,0,0,1,0,1,0
"409",12.426,0.32871276652029,2797,"IHF","NL",214,46.7,37.802,18.044,8.7,7.1,1,1000,7.31451105145163,9.01468880402436,9.15140211438251,7.49090827067669,5.61421654135338,4.74122750966332,5.92857680103797,6.68391581065675,6.71004671783913,5.43955176691729,3.98225853383459,1.9390101002519,0,0,0,0,0,0,0,0,1,0,1,0
"410",6.207,0.157910804691276,2798,"IHF","NL",214,46.533,39.307,36.96,4.5,7.2,1,1000,7.46203758169889,9.13317781684888,9.02474111749878,7.35576451102914,5.51280734773771,4.71802829708599,6.14289394051081,6.69697814603725,6.63092168180762,5.34754964240006,3.89257712113227,1.8966029052016,0,0,0,0,0,0,0,0,1,0,1,0
"411",6.6871,0.217764100560115,2799,"IHF","NL",214,45.65,30.708,20.163,7.3,6.7,1,1000,18.5689265567679,18.4196064835405,19.2514554834746,18.7760093098862,18.0459960100488,16.0445104575502,4.54046817225454,4.55905860092559,3.49534129921658,3.41312956258312,3.52044447317866,4.64519413698102,0,0,0,0,0,0,0,0,1,0,1,0
"412",3.1987,0.117323210093897,2800,"IHF","NL",214,45.75,27.264,36.352,3.4,6.7,1,1000,18.6045111329002,18.4604505518848,19.289059414282,18.8204946171799,18.0887322141083,16.0826756503694,4.65165337991785,4.5753207951375,3.6075198659739,3.46358009485809,3.48206989384928,4.57722782638813,0,0,0,0,0,0,0,0,1,0,1,0
"413",10.123,0.307633866164225,2801,"IHF","NL",214,48.367,32.906,21.507,7.5,6.7,1,1000,14.6137225686262,16.4260531147541,17.0763771600047,16.1796682384092,15.237927060711,14.0524498248014,4.30345211640385,4.05134337786885,3.09905216557199,2.84140303196311,2.6070373050811,4.14325879498714,0,0,0,0,0,0,0,0,1,0,1,0
"414",2.1167,0.0769177659071914,2802,"IHF","NL",214,48.683,27.519,36.644,3.4,6.7,1,1000,14.3993320452015,16.2474933941047,16.9694805902139,16.1394903360827,15.2557100371265,14.1020576386617,4.40411447267847,4.0787833768701,3.33502662366941,3.00584436784439,2.69325568204643,4.05918569127321,0,0,0,0,0,0,0,0,1,0,1,0
"415",16.312,0.277868629054238,2803,"IHF","NL",214,46.067,58.704,26.207,9.5,7,1,1000,5.64875083361197,9.12305037283502,8.43039916695592,8.23046511627907,8.06612403100775,8.68201173402501,1.42984437638711,2.56968542775582,3.20988493578619,3.72884418604651,4.24456511627907,4.97736688648666,0,0,0,0,0,0,0,0,1,0,1,0
"416",5.1354,0.138956084097735,2804,"IHF","NL",214,46.517,36.957,26.588,6,7,1,1000,5.35168107740656,8.83408451739679,8.83197616377708,8.50254826254826,8.17513513513514,8.63459833051549,1.31820180500068,2.45117678842201,3.30273918800192,3.77565637065637,4.23483783783784,4.94279756758928,0,0,0,0,0,0,0,0,1,0,1,0
"417",11.585,0.252209692167022,2805,"IHF","NL",214,46.067,45.934,20.691,9.1,7,1,1000,10.5251320615116,10.8473831779112,10.1699670964156,9.4379264,8.7211264,8.51104004395389,4.33840787676067,4.96066162882472,3.38758623739678,2.864641576,2.661729576,3.96401457295266,0,0,0,0,0,0,0,0,1,0,1,0
"418",6.7239,0.147735811746095,2806,"IHF","NL",214,46.017,45.513,31.606,5.9,7.1,1,1000,10.4241298548065,10.8602321660174,10.2779534537257,9.58015645756458,8.88347749077491,8.57131890242583,4.20272707956104,4.94207209295977,3.5734314251865,3.10209545387454,2.80535744649447,3.95875084623671,0,0,0,0,0,0,0,0,1,0,1,0
"419",2.5016,0.0670454545454545,2807,"IHF","NL",214,46.7,37.312,21.948,5.4,7,1,1000,5.83754611733572,4.93186063890037,3.79150087264191,4.15071153177077,4.62785887231338,6.01521680388904,2.29378841558688,1.48902942303986,1.29884604207644,1.56172993176509,1.85642521780498,2.40143698940704,0,0,0,0,0,0,0,0,1,0,1,0
"420",3.0695,0.0727749063492816,2808,"IHF","NL",214,46.833,42.178,36.999,3.8,7.2,1,1000,5.98775373979812,4.99482251558626,3.89705163135687,4.2140757288852,4.64527222825046,5.98929572158122,2.4615431046079,1.52525660037904,1.31858186258806,1.56834942306192,1.84976187527925,2.38877619770507,0,0,0,0,0,0,0,0,1,0,1,0
